run_id,N,T,initial_corruption_rate_parameter,beta,gamma,alpha,memory_endowment,collaboration_cost,discount_factor,initial_num_corrupted,initial_corruption_rate_actual,final_num_corrupted,final_num_honest,final_corruption_rate,spread_amount,spread_rate_change,full_corruption,no_spread,belief_cutoff
171,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,28,0.07,35,365,0.0875,7,0.017499999999999988,False,False,0.034102314032345635
172,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,19,0.0475,30,370,0.075,11,0.027499999999999997,False,False,0.034102314032345635
173,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,15,0.0375,22,378,0.055,7,0.0175,False,False,0.034102314032345635
174,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,16,0.04,32,368,0.08,16,0.04,False,False,0.034102314032345635
175,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,19,0.0475,21,379,0.0525,2,0.0049999999999999975,False,False,0.034102314032345635
176,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,22,0.055,27,373,0.0675,5,0.012500000000000004,False,False,0.034102314032345635
177,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,22,0.055,27,373,0.0675,5,0.012500000000000004,False,False,0.034102314032345635
178,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,16,0.04,25,375,0.0625,9,0.0225,False,False,0.034102314032345635
179,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,17,0.0425,23,377,0.0575,6,0.015,False,False,0.034102314032345635
180,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,22,0.055,38,362,0.095,16,0.04,False,False,0.034102314032345635
181,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,15,0.0375,20,380,0.05,5,0.012500000000000004,False,False,0.034102314032345635
182,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,16,0.04,24,376,0.06,8,0.019999999999999997,False,False,0.034102314032345635
183,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,20,0.05,29,371,0.0725,9,0.022499999999999992,False,False,0.034102314032345635
184,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,16,0.04,23,377,0.0575,7,0.0175,False,False,0.034102314032345635
185,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,20,0.05,25,375,0.0625,5,0.012499999999999997,False,False,0.034102314032345635
